cnum,x,y
0,6415,2815
1,6416,2815
2,6416,2816
3,6415,2816
4,6415,2818
5,6416,2818
6,6416,2817
7,6417,2817
8,6417,2815
9,6419,2815
10,6419,2816
11,6418,2816
12,6418,2817
13,6419,2817
14,6419,2818
15,6420,2818
16,6420,3761
17,6422,3761
18,6422,3759
19,6421,3759
20,6421,3758
21,6422,3758
22,6422,3759
23,6423,3759
24,6423,3760
25,6424,3760
26,6424,3762
27,6425,3762
28,6425,3761
29,6426,3761
30,6426,4688
31,6427,4688
32,6427,4689
33,6426,4689
34,6426,4690
35,6428,4690
36,6428,4688
37,6429,4688
38,6429,4690
39,6428,4690
40,6428,4692
41,6429,4692
42,6429,4691
43,6430,4691
44,6430,4689
45,6431,4689
46,6431,4688
47,6432,4688
48,6432,4690
49,6431,4690
50,6431,4691
51,6432,4691
52,6432,4692
53,6431,4692
54,6431,4693
55,6432,4693
56,6432,4696
57,6431,4696
58,6431,4697
59,6432,4697
60,6432,5023
61,6430,5023
62,6430,5024
63,6429,5024
64,6429,5025
65,6428,5025
66,6428,5024
67,6427,5024
68,6427,5023
69,6426,5023
70,6426,5025
71,6425,5025
72,6425,5024
73,6423,5024
74,6423,5025
75,6424,5025
76,6424,5026
77,6422,5026
78,6422,5025
79,6421,5025
80,6421,5026
81,6419,5026
82,6419,5025
83,6418,5025
84,6418,5026
85,6417,5026
86,6417,5027
87,6415,5027
88,6415,5028
89,6413,5028
90,6413,5029
91,6414,5029
92,6414,5030
93,6410,5030
94,6410,5031
95,6408,5031
96,6408,5032
97,6407,5032
98,6407,5031
99,6406,5031
100,6406,5032
101,6405,5032
102,6405,5033
103,6403,5033
104,6403,5034
105,6402,5034
106,6402,5035
107,6400,5035
108,6400,5036
109,6398,5036
110,6398,5038
111,6397,5038
112,6397,5039
113,6396,5039
114,6396,5038
115,6395,5038
116,6395,5039
117,6393,5039
118,6393,5040
119,6392,5040
120,6392,5042
121,6391,5042
122,6391,5043
123,6389,5043
124,6389,5041
125,6388,5041
126,6388,5042
127,6387,5042
128,6387,5040
